epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.335,1.05196,1.68067,1.42943,0.81624,0.62595,0.72523,0.41891,1.2061,2.72396,1.85328,0.000658537,0.000658537,0.000658537
2,36.6804,1.052,1.31232,1.40279,0.62266,0.68702,0.68679,0.41856,1.18181,2.04455,1.68527,0.000669228,0.000669228,0.000669228
1,19.8154,1.05196,1.68067,1.42943,0.81624,0.62595,0.72523,0.41891,1.2061,2.72396,1.85328,0.000658537,0.000658537,0.000658537
2,36.4219,1.052,1.31232,1.40279,0.62266,0.68702,0.68679,0.41856,1.18181,2.04455,1.68527,0.000669228,0.000669228,0.000669228
